ym,redemption,delta,signal
2014-11-30,0.03973857424043463,,False
2014-12-31,0.04161374788645022,0.001875173646015589,True
2015-01-31,0.041046246567371915,-0.0005675013190783035,False
2015-02-28,0.041046246567371915,0.0,False
2015-03-31,0.08155994927446326,0.04051370270709135,True
2015-04-30,0.07162022446783846,-0.009939724806624806,False
2015-05-31,0.039501091246515456,-0.032119133221323,False
2015-06-30,0.04976487801978433,0.010263786773268876,True
2015-07-31,0.04434331484197177,-0.005421563177812561,False
2015-08-31,0.04596916223731835,0.0016258473953465816,True
2015-09-30,0.04060860746822885,-0.005360554769089504,False
2015-10-31,0.017193763496412832,-0.023414843971816018,False
2015-11-30,0.016525189692105962,-0.0006685738043068698,False
2015-12-31,0.02266499153912576,0.006139801847019798,True
2016-01-31,0.0329618624365476,0.010296870897421838,True
2016-02-29,0.0329618624365476,0.0,False
2016-03-31,0.04130926569040352,0.008347403253855919,True
2016-04-30,0.02302631007401264,-0.018282955616390876,False
2016-05-31,0.016857371724689974,-0.006168938349322667,False
2016-06-30,0.03316920727718479,0.016311835552494814,True
2016-07-31,0.056754914903442914,0.023585707626258126,True
2016-08-31,0.09015137289313231,0.0333964579896894,True
2016-09-30,0.04470046689428951,-0.0454509059988428,False
2016-10-31,0.04459903878575083,-0.00010142810853867867,False
2016-11-30,0.028380756579038068,-0.016218282206712765,False
2016-12-31,0.021491204157012823,-0.006889552422025245,False
2017-01-31,0.017906691190979793,-0.0035845129660330294,False
2017-02-28,0.017906691190979793,0.0,False
2017-03-31,0.06636550057017275,0.04845880937919296,True
2017-04-30,0.02493674893494659,-0.04142875163522616,False
2017-05-31,0.04307301997579259,0.018136271040846,True
2017-06-30,0.06355192380665098,0.02047890383085839,True
2017-07-31,0.04755585497321913,-0.015996068833431847,False
2017-08-31,0.06753009377370887,0.019974238800489742,True
2017-09-30,0.06318375317009377,-0.0043463406036151064,False
2017-10-31,0.04268031700033307,-0.0205034361697607,False
2017-11-30,0.05304865852550028,0.010368341525167211,True
2017-12-31,0.029640116123163116,-0.023408542402337165,False
2018-01-31,0.04302204773816305,0.013381931614999936,True
2018-02-28,0.04302204773816305,0.0,False
2018-03-31,0.061978683958259125,0.018956636220096072,True
2018-04-30,0.03743062763163406,-0.024548056326625066,False
2018-05-31,0.03716328255493025,-0.0002673450767038052,False
2018-06-30,0.04873749108515317,0.011574208530222917,True
2018-07-31,0.018789259747311788,-0.029948231337841382,False
2018-08-31,0.020932606070715627,0.0021433463234038393,True
2018-09-30,0.014429358431706184,-0.006503247639009443,False
2018-10-31,0.015919119938444116,0.001489761506737932,True
2018-11-30,0.025536120644916147,0.00961700070647203,True
2018-12-31,0.006685885985421444,-0.018850234659494702,False
2019-01-31,0.025100038892405745,0.0184141529069843,True
2019-02-28,0.025100038892405745,0.0,False
2019-03-31,0.019687101504314537,-0.005412937388091208,False
2019-04-30,0.03940262183932687,0.019715520335012334,True
2019-05-31,0.01645746936476799,-0.02294515247455888,False
2019-06-30,0.02211661839357171,0.005659149028803722,True
2019-07-31,0.04728963030269413,0.025173011909122422,True
2019-08-31,0.03690422176085282,-0.010385408541841314,False
2019-09-30,0.04339138351222106,0.006487161751368244,True
2019-10-31,0.0467006383172527,0.003309254805031636,True
2019-11-30,0.04219796311490909,-0.004502675202343612,False
2019-12-31,0.040715751446201744,-0.0014822116687073436,False
2020-01-31,0.04831758907461907,0.007601837628417325,True
2020-02-29,0.04831758907461907,0.0,False
2020-03-31,0.048446187281083186,0.00012859820646411724,True
