ym,redemption,delta,signal
2014-11-30,0.06469573722769205,,False
2014-12-31,0.07026338777058652,0.005567650542894473,True
2015-01-31,0.0638218362912062,-0.006441551479380317,False
2015-02-28,0.0638218362912062,0.0,False
2015-03-31,0.11546994472002604,0.05164810842881984,True
2015-04-30,0.09832477981588819,-0.017145164904137852,False
2015-05-31,0.09394356417839289,-0.0043812156374953,False
2015-06-30,0.04780990610941501,-0.04613365806897788,False
2015-07-31,0.06349969646732845,0.015689790357913437,True
2015-08-31,0.0856222523609466,0.022122555893618154,True
2015-09-30,0.04200476933111462,-0.04361748302983198,False
2015-10-31,0.04270563092760452,0.0007008615964899031,True
2015-11-30,0.05826861513843113,0.015562984210826608,True
2015-12-31,0.08449699461683537,0.026228379478404236,True
2016-01-31,0.06402715326012823,-0.02046984135670714,False
2016-02-29,0.06402715326012823,0.0,False
2016-03-31,0.06890873593051787,0.004881582670389642,True
2016-04-30,0.06621126933580292,-0.0026974665947149534,False
2016-05-31,0.06919928724862263,0.002988017912819718,True
2016-06-30,0.0802563852395965,0.01105709799097386,True
2016-07-31,0.08493373610010768,0.004677350860511187,True
2016-08-31,0.12560971490764172,0.04067597880753404,True
2016-09-30,0.05646700495321257,-0.06914270995442914,False
2016-10-31,0.07587833264909742,0.01941132769588485,True
2016-11-30,0.08437560745616203,0.008497274807064609,True
2016-12-31,0.08662768188804384,0.0022520744318818148,True
2017-01-31,0.049809446867180876,-0.03681823502086297,False
2017-02-28,0.049809446867180876,0.0,False
2017-03-31,0.11080933690853985,0.06099989004135897,True
2017-04-30,0.06643145182106368,-0.04437788508747617,False
2017-05-31,0.0848113495667497,0.01837989774568602,True
2017-06-30,0.09764887576408587,0.012837526197336177,True
2017-07-31,0.06456913469749714,-0.03307974106658873,False
2017-08-31,0.30539066183753916,0.240821527140042,True
2017-09-30,0.08109541093120462,-0.22429525090633454,False
2017-10-31,0.08742824769814493,0.006332836766940311,True
2017-11-30,0.08929350576258141,0.0018652580644364786,True
2017-12-31,0.060136866088037824,-0.029156639674543586,False
2018-01-31,0.09776328683551785,0.03762642074748003,True
2018-02-28,0.09776328683551785,0.0,False
2018-03-31,0.07197112448015425,-0.025792162355363607,False
2018-04-30,0.04349715324719494,-0.028473971232959305,False
2018-05-31,0.05102091077157864,0.007523757524383695,True
2018-06-30,0.046155700844903225,-0.004865209926675412,False
2018-07-31,0.06810870167321753,0.021953000828314306,True
2018-08-31,0.04954536507182435,-0.018563336601393178,False
2018-09-30,0.05940386736287473,0.009858502291050376,True
2018-10-31,0.07841218531020427,0.019008317947329545,True
2018-11-30,0.05201246796012298,-0.026399717350081293,False
2018-12-31,0.045307616812302366,-0.006704851147820615,False
2019-01-31,0.06242642827357232,0.01711881146126995,True
2019-02-28,0.06242642827357232,0.0,False
2019-03-31,0.07827914619356108,0.01585271791998876,True
2019-04-30,0.05418176126994258,-0.0240973849236185,False
2019-05-31,0.0558344532925832,0.0016526920226406228,True
2019-06-30,0.048523225519951564,-0.007311227772631636,False
2019-07-31,0.04481067683749982,-0.003712548682451744,False
2019-08-31,0.0421253647946196,-0.0026853120428802224,False
2019-09-30,0.03330804689029812,-0.008817317904321477,False
2019-10-31,0.027057824438013914,-0.006250222452284206,False
2019-11-30,0.029718924560343956,0.0026611001223300415,True
2019-12-31,0.0354864065624143,0.005767482002070345,True
2020-01-31,0.03739956114238798,0.0019131545799736804,True
2020-02-29,0.03739956114238798,0.0,False
2020-03-31,0.10275614371633901,0.06535658257395102,True
